racket_name,manufacturer,head_size_in,head_size_cm,length_in,length_cm,weight_oz,weight_g,balance_in,balance_cm,balance_pts,swingweight,stiffness,beam_width_1,beam_width_2,beam_width_3,composition,power_level,stroke_style,swing_speed,grip_type,string_mains,string_crosses,stringing_instructions,racquet_colors,string_tension
"Babolat Drive 25"" Junior Racquet 2025",,100,645,25,63.5,8.1,230,,,,,,,,,Graphite Composite,,,,,16,17,17 Crosses,Blue,
"Babolat Drive 23"" Junior Racquet 2025",,98,630,23,58.42,7.6,215,,,,,,,,,Graphite Composite,,,,,16,17,17 Crosses,Blue,
"Babolat Ballfighter 17"" Junior Racquet",,62,400,17,42.18,,,,,,,,,,,Aluminum,,,,,,,,,
"Babolat Pure Drive 25"" Junior Racquet 2025",,98,632.26,25,63.50,8.5,240,,,,,,,,,Graphite,,,,,16,17,17 Crosses,Blue,
"Babolat Aero 25"" Junior Racquet",,100,645.16,25,63.50,7.9,225 g,,,,,,,,,Graphite Composite,,,,,16,17,17 Crosses,Yellow/Black,
"Babolat Nadal 26"" Junior Racquet 2023",,108,696.77,26,66.04,8.6,245 g,,,,,,,,,Aluminum,,,,,16,19,19 Crosses,,
"Babolat B Fly 25"" 2023 Junior Racquet",,106,683.87,25,63.50,7.8,220 g,,,,,,,,,Aluminum,,,,,16,19,19 Crosses,,
"Babolat Pure Drive 26"" Junior Racquet",,100,645.16,26,66.04,8.8,250 g,,,,,,,,,Graphite,,,,,16,19,19 Crosses,Blue,
"Babolat Pure Drive 25"" Junior Light Blue Racquet",,98,632.26,25,63.50,8.5,240 g,,,,,,,,,Graphite,,,,,16,17,17 Crosses,Light Blue,
"Babolat Pure Drive 26"" Junior Racquet 2025",,100,645.16,26,66.04,8.8,250,,,,,,,,,Graphite,,,,,16,19,19 Crosses,Blue,
"Babolat B Fly 19"" 2023 Junior Racquet",,81,522.58,19,48.26,,,,,,,,,,,Aluminium,,,,,,,,,
"Babolat Nadal 21"" Junior Racquet 2023",,85,548.38,21,53.34,,,,,,,,,,,Aluminium,,,,,,,,,
"Babolat B Fly 23"" 2023 Junior Racquet",,96,619.35,23,58.42,,,,,,,,,,,Aluminum,,,,,,,,,
"Babolat Aero 26"" Junior Racquet",,100,645.16,26,66.04,8.5,240 g,,,,,,,,,Graphite Composite,,,,,16,17,17 Crosses,Yellow/Black,
"Babolat Pure Aero 25"" 2023 Junior Racquet",,100,645.16,25,63.50,8.5,240 g,,,,,,,,,Graphite,,,,,16,19,19 Crosses,Yellow/Black,
"Babolat Nadal 23"" Junior Racquet 2023",,98,632.26,23,58.42,,,,,,,,,,,Aluminium,,,,,,,,,
"Babolat Nadal 25"" Junior Racquet 2023",,108,696.77,25,63.50,8.5,240g,,,,,,,,,Aluminium,,,,,16,17,17 Crosses,,
"Babolat B Fly 21"" 2023 Junior Racquet",,95,612.90,21,53.34,,,,,,,,,,,Aluminium,,,,,,,,,
Babolat Pure Aero Rafa Origin Racquet,,100  2,645.16  2,27,68.58,11.9,337,13.38,33.99,1,371,70,23,26,23,Graphite,Low-Medium,Medium-Full,Medium-Fast,Babolat Syntec Pro,16,19,"19 Crosses Mains skip: 8T,8H Two Pieces No Shared Holes",Pink/Yellow/Black,50-59 pounds
Babolat EVO Strike Racquet,,102,658.06,27,68.58,10.7,303,13,33.02,4,309,66,23,24.5,23,Graphite,Low-Medium,Medium-Full,Medium-Fast,Babolat Synthetic,16,19,"19 Crosses Mains skip: 8T,7H,9H Two Pieces No Shared Holes",White/Coral,50-55 pounds
Babolat Pure Drive 107 2025 Racquet,,107,690.32,27.2,69.09,10.6,301,12.99,32.99,5,307,69,23,26,23,Graphite,Medium,Medium,Medium,Babolat Syntec Pro,16,19,"19 Crosses Mains skip: 7T,9T,7H,9H Two Pieces No Shared Holes",Blue,44-53 pounds
Babolat EVO Drive Lite Racquet,,104,670.97,27,68.58,9.5,269,13,33.02,4,298,67,23,26,23,Graphite,Low-Medium,Medium-Full,Medium-Fast,Babolat Syntec Evo,16,17,"17 Crosses Mains skip: 7T,9T,7H,9H Two Pieces No Shared Holes",Blue,50-55 pounds
Babolat EVO Aero Pink Racquet,,102,658.06,27,68.58,10.2,289,12.99,32.99,4,301,60,23,26,23,Graphite,Low-Medium,Medium-Full,Medium-Fast,Babolat Syntec EVO,16,18,"18 Crosses Mains skip: 7T,9T,7H,9H One Piece No Shared Holes",White/Grey,50-55 pounds
Babolat Pure Drive 110 Racquet,,110,709.68,27.6,70.1,9.5,269,13.37,33.96,3,298,70,24,26.5,23.5,Graphite,Medium-High,Compact-Medium,Slow-Moderate,Babolat Syntec Lite,16,19,"19 Crosses Mains skip: 7T,9T,8H Two Pieces No Shared Holes",Blue,50-59 pounds
Babolat EVO Aero Lite Pink Racquet,,102,658.06,27,68.58,9.7,275,12.99,32.99,4,294,60,23,26,23,Graphite,Low-Medium,Medium-Full,Medium-Fast,Babolat Syntec EVO,16,18,"18 Crosses Mains skip: 7T,9T,7H,9H One Piece No Shared Holes",White/Pink/Grey,50-55 pounds
Babolat Pure Aero Rafa Racquet 2023,,100,645.16,27,68.58,10.7,303,13.38,33.99,1,323,69,23,26,23,Graphite,Low-Medium,Medium-Full,Medium-Fast,Babolat Syntec Pro,16,19,"19 Crosses Mains skip: 7T,9T,7H,9H Two Pieces No Shared Holes",Pink/Yellow/Black,50-59 pounds
Babolat Pure Drive Team 2025 Racquet,,100,645.16,27,68.58,10.6,301,12.85,32.64,5,308,69,23,26,23,Graphite,Low-Medium,Medium-Full,Medium-Fast,Babolat Syntec Pro,16,19,"19 Crosses Mains skip: 7T,9T,7H,9H Two Pieces No Shared Holes",Blue,44-53 pounds
Babolat Pure Drive 98 Racquet,,98,632.26,27,68.58,11.4,323,13.12,33.32,3,322,67,21,23,21,Graphite,Low-Medium,Medium-Full,Medium-Fast,Babolat Syntec Pro,16,19,"19 Crosses Mains skip: 7T,9T,7H,9H Two Pieces No Shared Holes",Blue,50-59 pounds
Babolat Pure Strike 98 16x19 Racquet 2024,,98,632.26,27,68.58,11.4,323,13,33.02,4,330,64,21,23,21,Graphite,Low-Medium,Medium-Full,Medium-Fast,Babolat Syntec Team,16,19,"19 Crosses Mains skip: 8T,8H One Piece No Shared Holes",White/Coral,48-57 pounds
Babolat Pure Drive 98 2-Pack 2025 Racquet,,98,632.26,27,68.58,11.4,323,13.18,33.48,3,323,69,21,23,21,Graphite,Low-Medium,Medium-Full,Medium-Fast,Babolat Syntec Pro,16,20,"20 Crosses Mains skip: 7T,9T,7H,9H Two Pieces No Shared Holes",Blue,46-55 pounds
Babolat EVO Aero Racquet,,102,658.06,27,68.58,10.2,289,12.99,32.99,4,301,60,23,26,23,Graphite,Low-Medium,Medium-Full,Medium-Fast,Babolat Syntec EVO,16,18,"18 Crosses Mains skip: 7T,9T,7H,9H One Piece No Shared Holes",White/Grey,50-55 pounds
Babolat Pure Drive Racquet,,100,645.16,27,68.58,11.2,318,12.99,32.99,4,320,71,23,26,23,Graphite,Low-Medium,Medium-Full,Medium-Fast,Babolat Syntec Pro,16,19,"19 Crosses Mains skip: 7T,9T,7H,9H Two Pieces No Shared Holes",Blue,50-59 pounds
Babolat Pure Drive Plus Racquet,,100,645.16,27.5,69.85,11.2,318,12.99,32.99,6,324,69,23,26,23,Graphite,Low-Medium,Medium-Full,Medium-Fast,Babolat Syntec Pro,16,19,"19 Crosses Mains skip: 7T,9T,7H,9H Two Pieces No Shared Holes",Blue,50-59 pounds
Babolat Pure Aero 98 2023 Racquet,,98,632.26,27,68.58,11.4,323,12.79,32.49,6,321,66,21,23,22,Graphite,Low-Medium,Medium-Full,Medium-Fast,Syntec Pro,16,20,"20 Crosses Mains skip: 7T,9T,7H,9H Two Pieces No Shared Holes",Black/Yellow,50-59 pounds
Babolat Pure Aero 98 2-Pack 2023 Racquets,,98,632.26,27,68.58,11.4,323,12.79,32.49,6,321,66,21,23,22,Graphite,Low-Medium,Medium-Full,Medium-Fast,Syntec Pro,16,20,"20 Crosses Mains skip: 7T,9T,7H,9H Two Pieces No Shared Holes",Black/Yellow,50-59 pounds
"Babolat Pure Drive 26"" Junior Light Blue Racquet",,100,645.16,26,66.04,8.8,250,,,,,,,,,Graphite,,,,,16,19,19 Crosses,Light Blue,
Babolat Pure Aero Plus 2023 Racquet,,100,645.16,27.5,69.85,11.3,320,12.99,32.99,6,334,65,23,26,23,Graphite,Low-Medium,Medium-Full,Medium-Fast,Babolat Syntec Pro,16,19,"19 Crosses Mains skip: 8T,8H Two Pieces No Shared Holes",Yellow/Black,50-59 pounds
Babolat Boost Rafa Racquet 2023,,102,658.06,27,68.58,9.8,278,13.75,34.93,2 pts HH,308,68,23,26,23,Graphite,Low-Medium,Medium-Full,Medium-Fast,Syntec Uptake,16,19,"19 Crosses Mains skip: 8T,8H One Piece No Shared Holes",Pink/Yellow/Black,50-55 pounds
Babolat Pure Strike 97 2-Pack Racquet 2024,,97,625.81,27,68.58,11.7,332,12.59,31.98,7,321,63,21,22,21,Graphite,Low-Medium,Medium-Full,Medium-Fast,LEATHER!,16,20,"20 Crosses Mains skip: 7T,9T,7H,9H One Piece No Shared Holes",White,48-57 pounds
